run_id,job_id,planned_release_ns,actual_start_ns,finish_ns,execution_time_ns,response_time_ns,release_jitter_ns,deadline_ns,deadline_miss,overrun,skipped_release
1,0,67700595000000,67700595063250,67700595072000,8750,72000,63250,67700600000000,0,0,0
1,1,67700600000000,67700600027250,67700600034625,7375,34625,27250,67700605000000,0,0,0
1,2,67700605000000,67700605059750,67700605066500,6750,66500,59750,67700610000000,0,0,0
1,3,67700610000000,67700610057000,67700610061625,4625,61625,57000,67700615000000,0,0,0
1,4,67700615000000,67700615056875,67700615061250,4375,61250,56875,67700620000000,0,0,0
1,5,67700620000000,67700620012625,67700620017625,5000,17625,12625,67700625000000,0,0,0
1,6,67700625000000,67700625056625,67700625061500,4875,61500,56625,67700630000000,0,0,0
1,7,67700630000000,67700630056625,67700630061000,4375,61000,56625,67700635000000,0,0,0
1,8,67700635000000,67700635056750,67700635061250,4500,61250,56750,67700640000000,0,0,0
1,9,67700640000000,67700640012125,67700640016625,4500,16625,12125,67700645000000,0,0,0
1,10,67700645000000,67700645060375,67700645064750,4375,64750,60375,67700650000000,0,0,0
1,11,67700650000000,67700650056500,67700650061000,4500,61000,56500,67700655000000,0,0,0
1,12,67700655000000,67700655056375,67700655060750,4375,60750,56375,67700660000000,0,0,0
1,13,67700660000000,67700660011375,67700660015875,4500,15875,11375,67700665000000,0,0,0
1,14,67700665000000,67700665056500,67700665061000,4500,61000,56500,67700670000000,0,0,0
1,15,67700670000000,67700670056500,67700670061000,4500,61000,56500,67700675000000,0,0,0
1,16,67700675000000,67700675056500,67700675060875,4375,60875,56500,67700680000000,0,0,0
1,17,67700680000000,67700680011500,67700680015875,4375,15875,11500,67700685000000,0,0,0
1,18,67700685000000,67700685056375,67700685060750,4375,60750,56375,67700690000000,0,0,0
1,19,67700690000000,67700690056375,67700690060875,4500,60875,56375,67700695000000,0,0,0
1,20,67700695000000,67700695056375,67700695060750,4375,60750,56375,67700700000000,0,0,0
1,21,67700700000000,67700700011375,67700700015875,4500,15875,11375,67700705000000,0,0,0
1,22,67700705000000,67700705056500,67700705060750,4250,60750,56500,67700710000000,0,0,0
1,23,67700710000000,67700710056500,67700710061000,4500,61000,56500,67700715000000,0,0,0
1,24,67700715000000,67700715056375,67700715060875,4500,60875,56375,67700720000000,0,0,0
1,25,67700720000000,67700720011250,67700720015750,4500,15750,11250,67700725000000,0,0,0
1,26,67700725000000,67700725056500,67700725060750,4250,60750,56500,67700730000000,0,0,0
1,27,67700730000000,67700730056500,67700730061000,4500,61000,56500,67700735000000,0,0,0
1,28,67700735000000,67700735056500,67700735060750,4250,60750,56500,67700740000000,0,0,0
1,29,67700740000000,67700740011375,67700740015750,4375,15750,11375,67700745000000,0,0,0
1,30,67700745000000,67700745056500,67700745061000,4500,61000,56500,67700750000000,0,0,0
1,31,67700750000000,67700750056625,67700750061000,4375,61000,56625,67700755000000,0,0,0
1,32,67700755000000,67700755056375,67700755060875,4500,60875,56375,67700760000000,0,0,0
1,33,67700760000000,67700760011250,67700760015750,4500,15750,11250,67700765000000,0,0,0
1,34,67700765000000,67700765056500,67700765060750,4250,60750,56500,67700770000000,0,0,0
1,35,67700770000000,67700770059750,67700770064250,4500,64250,59750,67700775000000,0,0,0
1,36,67700775000000,67700775059625,67700775064000,4375,64000,59625,67700780000000,0,0,0
1,37,67700780000000,67700780059125,67700780063500,4375,63500,59125,67700785000000,0,0,0
1,38,67700785000000,67700785058875,67700785063125,4250,63125,58875,67700790000000,0,0,0
1,39,67700790000000,67700790062500,67700790066875,4375,66875,62500,67700795000000,0,0,0
1,40,67700795000000,67700795058750,67700795063125,4375,63125,58750,67700800000000,0,0,0
1,41,67700800000000,67700800059000,67700800063250,4250,63250,59000,67700805000000,0,0,0
1,42,67700805000000,67700805058750,67700805063375,4625,63375,58750,67700810000000,0,0,0
1,43,67700810000000,67700810062500,67700810067000,4500,67000,62500,67700815000000,0,0,0
1,44,67700815000000,67700815058875,67700815063250,4375,63250,58875,67700820000000,0,0,0
1,45,67700820000000,67700820059875,67700820064625,4750,64625,59875,67700825000000,0,0,0
1,46,67700825000000,67700825058750,67700825063250,4500,63250,58750,67700830000000,0,0,0
1,47,67700830000000,67700830062125,67700830066625,4500,66625,62125,67700835000000,0,0,0
1,48,67700835000000,67700835059000,67700835063375,4375,63375,59000,67700840000000,0,0,0
1,49,67700840000000,67700840058875,67700840063250,4375,63250,58875,67700845000000,0,0,0
1,50,67700845000000,67700845058500,67700845062875,4375,62875,58500,67700850000000,0,0,0
1,51,67700850000000,67700850062500,67700850067000,4500,67000,62500,67700855000000,0,0,0
1,52,67700855000000,67700855058750,67700855063250,4500,63250,58750,67700860000000,0,0,0
1,53,67700860000000,67700860058750,67700860063500,4750,63500,58750,67700865000000,0,0,0
1,54,67700865000000,67700865058625,67700865063000,4375,63000,58625,67700870000000,0,0,0
1,55,67700870000000,67700870058750,67700870063125,4375,63125,58750,67700875000000,0,0,0
1,56,67700875000000,67700875062250,67700875066500,4250,66500,62250,67700880000000,0,0,0
1,57,67700880000000,67700880059125,67700880063500,4375,63500,59125,67700885000000,0,0,0
1,58,67700885000000,67700885058750,67700885063250,4500,63250,58750,67700890000000,0,0,0
1,59,67700890000000,67700890058875,67700890063125,4250,63125,58875,67700895000000,0,0,0
1,60,67700895000000,67700895062125,67700895066625,4500,66625,62125,67700900000000,0,0,0
1,61,67700900000000,67700900059000,67700900063250,4250,63250,59000,67700905000000,0,0,0
1,62,67700905000000,67700905058625,67700905063000,4375,63000,58625,67700910000000,0,0,0
1,63,67700910000000,67700910058750,67700910063125,4375,63125,58750,67700915000000,0,0,0
1,64,67700915000000,67700915064375,67700915069000,4625,69000,64375,67700920000000,0,0,0
1,65,67700920000000,67700920059250,67700920063625,4375,63625,59250,67700925000000,0,0,0
1,66,67700925000000,67700925058750,67700925063250,4500,63250,58750,67700930000000,0,0,0
1,67,67700930000000,67700930058625,67700930063000,4375,63000,58625,67700935000000,0,0,0
1,68,67700935000000,67700935058625,67700935063000,4375,63000,58625,67700940000000,0,0,0
1,69,67700940000000,67700940062000,67700940066250,4250,66250,62000,67700945000000,0,0,0
1,70,67700945000000,67700945059875,67700945064375,4500,64375,59875,67700950000000,0,0,0
1,71,67700950000000,67700950059500,67700950063750,4250,63750,59500,67700955000000,0,0,0
1,72,67700955000000,67700955058750,67700955063000,4250,63000,58750,67700960000000,0,0,0
1,73,67700960000000,67700960062875,67700960067375,4500,67375,62875,67700965000000,0,0,0
1,74,67700965000000,67700965059500,67700965064000,4500,64000,59500,67700970000000,0,0,0
1,75,67700970000000,67700970059375,67700970063750,4375,63750,59375,67700975000000,0,0,0
1,76,67700975000000,67700975059500,67700975063875,4375,63875,59500,67700980000000,0,0,0
1,77,67700980000000,67700980063000,67700980067500,4500,67500,63000,67700985000000,0,0,0
1,78,67700985000000,67700985059875,67700985064250,4375,64250,59875,67700990000000,0,0,0
1,79,67700990000000,67700990059250,67700990063875,4625,63875,59250,67700995000000,0,0,0
1,80,67700995000000,67700995059375,67700995063750,4375,63750,59375,67701000000000,0,0,0
