run_id,job_id,planned_release_ns,actual_start_ns,finish_ns,execution_time_ns,response_time_ns,release_jitter_ns,deadline_ns,deadline_miss,overrun,skipped_release
1,0,69415720000000,69415720036625,69415725472875,5436250,5472875,36625,69415730000000,0,0,0
1,1,69415730000000,69415730067875,69415735691875,5624000,5691875,67875,69415740000000,0,0,0
1,2,69415740000000,69415740091250,69415745866875,5775625,5866875,91250,69415750000000,0,0,0
1,3,69415750000000,69415750109125,69415755745750,5636625,5745750,109125,69415760000000,0,0,0
1,4,69415760000000,69415760127750,69415765997125,5869375,5997125,127750,69415770000000,0,0,0
1,5,69415770000000,69415770111875,69415775783250,5671375,5783250,111875,69415780000000,0,0,0
1,6,69415780000000,69415780127875,69415785903750,5775875,5903750,127875,69415790000000,0,0,0
1,7,69415790000000,69415790109875,69415795756250,5646375,5756250,109875,69415800000000,0,0,0
1,8,69415800000000,69415800106625,69415805669750,5563125,5669750,106625,69415810000000,0,0,0
1,9,69415810000000,69415810104125,69415815672250,5568125,5672250,104125,69415820000000,0,0,0
1,10,69415820000000,69415820108250,69415825817875,5709625,5817875,108250,69415830000000,0,0,0
1,11,69415830000000,69415830107500,69415836130750,6023250,6130750,107500,69415840000000,0,0,0
1,12,69415840000000,69415840068625,69415845870500,5801875,5870500,68625,69415850000000,0,0,0
1,13,69415850000000,69415850104750,69415855806875,5702125,5806875,104750,69415860000000,0,0,0
1,14,69415860000000,69415860111375,69415865770000,5658625,5770000,111375,69415870000000,0,0,0
1,15,69415870000000,69415870122875,69415875809875,5687000,5809875,122875,69415880000000,0,0,0
1,16,69415880000000,69415880113875,69415885884875,5771000,5884875,113875,69415890000000,0,0,0
1,17,69415890000000,69415890124625,69415895754625,5630000,5754625,124625,69415900000000,0,0,0
1,18,69415900000000,69415900111875,69415905606875,5495000,5606875,111875,69415910000000,0,0,0
1,19,69415910000000,69415910125625,69415915835875,5710250,5835875,125625,69415920000000,0,0,0
1,20,69415920000000,69415920105250,69415925837125,5731875,5837125,105250,69415930000000,0,0,0
1,21,69415930000000,69415930107875,69415935953125,5845250,5953125,107875,69415940000000,0,0,0
1,22,69415940000000,69415940090000,69415945826625,5736625,5826625,90000,69415950000000,0,0,0
1,23,69415950000000,69415950108375,69415955792750,5684375,5792750,108375,69415960000000,0,0,0
1,24,69415960000000,69415960073125,69415965776000,5702875,5776000,73125,69415970000000,0,0,0
1,25,69415970000000,69415970082750,69415975711000,5628250,5711000,82750,69415980000000,0,0,0
1,26,69415980000000,69415980109500,69415985920750,5811250,5920750,109500,69415990000000,0,0,0
1,27,69415990000000,69415990104500,69415995669750,5565250,5669750,104500,69416000000000,0,0,0
1,28,69416000000000,69416000104875,69416005836125,5731250,5836125,104875,69416010000000,0,0,0
1,29,69416010000000,69416010092125,69416015665125,5573000,5665125,92125,69416020000000,0,0,0
1,30,69416020000000,69416020121500,69416025793625,5672125,5793625,121500,69416030000000,0,0,0
1,31,69416030000000,69416030070125,69416035763000,5692875,5763000,70125,69416040000000,0,0,0
1,32,69416040000000,69416040110500,69416045639375,5528875,5639375,110500,69416050000000,0,0,0
1,33,69416050000000,69416050106250,69416055807000,5700750,5807000,106250,69416060000000,0,0,0
1,34,69416060000000,69416060110750,69416065740500,5629750,5740500,110750,69416070000000,0,0,0
1,35,69416070000000,69416070102125,69416075852750,5750625,5852750,102125,69416080000000,0,0,0
1,36,69416080000000,69416080113000,69416085800000,5687000,5800000,113000,69416090000000,0,0,0
1,37,69416090000000,69416090105875,69416095702625,5596750,5702625,105875,69416100000000,0,0,0
1,38,69416100000000,69416100110125,69416106170750,6060625,6170750,110125,69416110000000,0,0,0
1,39,69416110000000,69416110099875,69416115923250,5823375,5923250,99875,69416120000000,0,0,0
