run_id,job_id,planned_release_ns,actual_start_ns,finish_ns,execution_time_ns,response_time_ns,release_jitter_ns,deadline_ns,deadline_miss,overrun,skipped_release
1,0,241800200000000,241800200055750,241800215294375,15238625,15294375,55750,241800210000000,1,0,0
1,1,241800210000000,241800215638875,241800231068000,15429125,21068000,5638875,241800220000000,1,1,0
1,3,241800220000000,241800231243625,241800247230000,15986375,27230000,11243625,241800230000000,1,1,1
1,4,241800240000000,241800247374875,241800263278750,15903875,23278750,7374875,241800250000000,1,1,0
1,6,241800250000000,241800263459500,241800279352875,15893375,29352875,13459500,241800260000000,1,1,1
1,7,241800270000000,241800279527250,241800295421250,15894000,25421250,9527250,241800280000000,1,1,0
1,9,241800280000000,241800295593875,241800310778500,15184625,30778500,15593875,241800290000000,1,1,1
1,11,241800300000000,241800310957750,241800326102625,15144875,26102625,10957750,241800310000000,1,1,1
1,12,241800320000000,241800326272125,241800341655750,15383625,21655750,6272125,241800330000000,1,1,0
1,14,241800330000000,241800341818625,241800356873500,15054875,26873500,11818625,241800340000000,1,1,1
1,15,241800350000000,241800357033500,241800372921375,15887875,22921375,7033500,241800360000000,1,1,0
1,17,241800360000000,241800373082750,241800389037375,15954625,29037375,13082750,241800370000000,1,1,1
1,18,241800380000000,241800389192125,241800404445000,15252875,24445000,9192125,241800390000000,1,1,0
1,20,241800390000000,241800404592375,241800418351625,13759250,28351625,14592375,241800400000000,1,1,1
1,21,241800410000000,241800418509250,241800434065625,15556375,24065625,8509250,241800420000000,1,1,0
1,23,241800420000000,241800434237375,241800450112500,15875125,30112500,14237375,241800430000000,1,1,1
1,25,241800440000000,241800450231125,241800465564875,15333750,25564875,10231125,241800450000000,1,1,1
1,26,241800460000000,241800465735625,241800480363000,14627375,20363000,5735625,241800470000000,1,1,0
1,28,241800470000000,241800480531875,241800495280750,14748875,25280750,10531875,241800480000000,1,1,1
1,29,241800490000000,241800495459250,241800511333875,15874625,21333875,5459250,241800500000000,1,1,0
1,31,241800500000000,241800511516875,241800527368000,15851125,27368000,11516875,241800510000000,1,1,1
1,32,241800520000000,241800527557375,241800541781125,14223750,21781125,7557375,241800530000000,1,1,0
1,34,241800530000000,241800541965500,241800557404750,15439250,27404750,11965500,241800540000000,1,1,1
1,35,241800550000000,241800557567250,241800573448750,15881500,23448750,7567250,241800560000000,1,1,0
1,37,241800560000000,241800573609750,241800588846125,15236375,28846125,13609750,241800570000000,1,1,1
1,38,241800580000000,241800588993625,241800604883250,15889625,24883250,8993625,241800590000000,1,1,0
1,40,241800590000000,241800605040750,241800620961750,15921000,30961750,15040750,241800600000000,1,1,1
1,42,241800610000000,241800621103750,241800636894875,15791125,26894875,11103750,241800620000000,1,1,1
1,43,241800630000000,241800637049125,241800652958750,15909625,22958750,7049125,241800640000000,1,1,0
1,45,241800640000000,241800653079000,241800668976875,15897875,28976875,13079000,241800650000000,1,1,1
1,46,241800660000000,241800669109125,241800682791625,13682500,22791625,9109125,241800670000000,1,1,0
1,48,241800670000000,241800682984875,241800698084625,15099750,28084625,12984875,241800680000000,1,1,1
1,49,241800690000000,241800698271125,241800714259250,15988125,24259250,8271125,241800700000000,1,1,0
1,51,241800700000000,241800714455375,241800730342125,15886750,30342125,14455375,241800710000000,1,1,1
1,53,241800720000000,241800730519875,241800746382750,15862875,26382750,10519875,241800730000000,1,1,1
1,54,241800740000000,241800746568625,241800762470125,15901500,22470125,6568625,241800750000000,1,1,0
1,56,241800750000000,241800762646125,241800777279375,14633250,27279375,12646125,241800760000000,1,1,1
