run_id,job_id,planned_release_ns,actual_start_ns,finish_ns,execution_time_ns,response_time_ns,release_jitter_ns,deadline_ns,deadline_miss,overrun,skipped_release
1,0,96954390000000,96954390073250,96954406082000,16008750,16082000,73250,96954400000000,1,0,0
1,1,96954400000000,96954406478750,96954422224000,15745250,22224000,6478750,96954410000000,1,1,0
1,3,96954410000000,96954422450000,96954437058750,14608750,27058750,12450000,96954420000000,1,1,1
1,4,96954430000000,96954437264000,96954453167500,15903500,23167500,7264000,96954440000000,1,1,0
1,6,96954440000000,96954453354875,96954469097250,15742375,29097250,13354875,96954450000000,1,1,1
1,7,96954460000000,96954469265250,96954485158750,15893500,25158750,9265250,96954470000000,1,1,0
1,9,96954470000000,96954485323250,96954501162625,15839375,31162625,15323250,96954480000000,1,1,1
1,11,96954490000000,96954501336875,96954517266125,15929250,27266125,11336875,96954500000000,1,1,1
1,12,96954510000000,96954517438000,96954533349500,15911500,23349500,7438000,96954520000000,1,1,0
1,14,96954520000000,96954533514875,96954548696250,15181375,28696250,13514875,96954530000000,1,1,1
1,15,96954540000000,96954548859250,96954564143750,15284500,24143750,8859250,96954550000000,1,1,0
1,17,96954550000000,96954564321875,96954580225250,15903375,30225250,14321875,96954560000000,1,1,1
1,19,96954570000000,96954580387750,96954595742125,15354375,25742125,10387750,96954580000000,1,1,1
1,20,96954590000000,96954595964125,96954611860250,15896125,21860250,5964125,96954600000000,1,1,0
1,22,96954600000000,96954612057750,96954627909000,15851250,27909000,12057750,96954610000000,1,1,1
1,23,96954620000000,96954628206625,96954642976000,14769375,22976000,8206625,96954630000000,1,1,0
1,25,96954630000000,96954643205750,96954659112125,15906375,29112125,13205750,96954640000000,1,1,1
1,26,96954650000000,96954659298500,96954675181875,15883375,25181875,9298500,96954660000000,1,1,0
1,28,96954660000000,96954675386875,96954691275125,15888250,31275125,15386875,96954670000000,1,1,1
1,30,96954680000000,96954691478500,96954706387500,14909000,26387500,11478500,96954690000000,1,1,1
1,31,96954700000000,96954706564625,96954722427500,15862875,22427500,6564625,96954710000000,1,1,0
1,33,96954710000000,96954722608000,96954737114750,14506750,27114750,12608000,96954720000000,1,1,1
1,34,96954730000000,96954737282125,96954752385250,15103125,22385250,7282125,96954740000000,1,1,0
1,36,96954740000000,96954752551125,96954768459500,15908375,28459500,12551125,96954750000000,1,1,1
1,37,96954760000000,96954768627250,96954784522875,15895625,24522875,8627250,96954770000000,1,1,0
1,39,96954770000000,96954784677500,96954799933375,15255875,29933375,14677500,96954780000000,1,1,1
1,41,96954790000000,96954800155000,96954816104250,15949250,26104250,10155000,96954800000000,1,1,1
1,42,96954810000000,96954816274000,96954831500500,15226500,21500500,6274000,96954820000000,1,1,0
1,44,96954820000000,96954831708875,96954846944625,15235750,26944625,11708875,96954830000000,1,1,1
1,45,96954840000000,96954847131500,96954862610875,15479375,22610875,7131500,96954850000000,1,1,0
1,47,96954850000000,96954862792875,96954878734875,15942000,28734875,12792875,96954860000000,1,1,1
1,48,96954870000000,96954878932500,96954894828500,15896000,24828500,8932500,96954880000000,1,1,0
1,50,96954880000000,96954895020250,96954910608500,15588250,30608500,15020250,96954890000000,1,1,1
1,52,96954900000000,96954910794875,96954925986750,15191875,25986750,10794875,96954910000000,1,1,1
1,53,96954920000000,96954926164875,96954941836500,15671625,21836500,6164875,96954930000000,1,1,0
1,55,96954930000000,96954942023750,96954957114750,15091000,27114750,12023750,96954940000000,1,1,1
1,56,96954950000000,96954957292375,96954973214750,15922375,23214750,7292375,96954960000000,1,1,0
1,58,96954960000000,96954973389875,96954989607500,16217625,29607500,13389875,96954970000000,1,1,1
1,59,96954980000000,96954989781250,96955005730125,15948875,25730125,9781250,96954990000000,1,1,0
1,61,96954990000000,96955005892625,96955021735500,15842875,31735500,15892625,96955000000000,1,1,1
1,63,96955010000000,96955021919875,96955037143000,15223125,27143000,11919875,96955020000000,1,1,1
1,64,96955030000000,96955038198000,96955054209750,16011750,24209750,8198000,96955040000000,1,1,0
1,66,96955040000000,96955054393125,96955069794500,15401375,29794500,14393125,96955050000000,1,1,1
1,67,96955060000000,96955069980375,96955085850625,15870250,25850625,9980375,96955070000000,1,1,0
1,69,96955070000000,96955086034500,96955101268000,15233500,31268000,16034500,96955080000000,1,1,1
1,71,96955090000000,96955101447500,96955117297125,15849625,27297125,11447500,96955100000000,1,1,1
1,72,96955110000000,96955117484625,96955133338125,15853500,23338125,7484625,96955120000000,1,1,0
1,74,96955120000000,96955133499125,96955148680875,15181750,28680875,13499125,96955130000000,1,1,1
1,75,96955140000000,96955148859875,96955164204125,15344250,24204125,8859875,96955150000000,1,1,0
1,77,96955150000000,96955164387500,96955180291000,15903500,30291000,14387500,96955160000000,1,1,1
1,79,96955170000000,96955180464625,96955196374875,15910250,26374875,10464625,96955180000000,1,1,1
1,80,96955190000000,96955196508125,96955212372000,15863875,22372000,6508125,96955200000000,1,1,0
1,82,96955200000000,96955212542750,96955228464625,15921875,28464625,12542750,96955210000000,1,1,1
1,83,96955220000000,96955228619750,96955243789250,15169500,23789250,8619750,96955230000000,1,1,0
1,85,96955230000000,96955243973375,96955259879125,15905750,29879125,13973375,96955240000000,1,1,1
1,87,96955250000000,96955260062500,96955275926000,15863500,25926000,10062500,96955260000000,1,1,1
1,88,96955270000000,96955276118625,96955292042000,15923375,22042000,6118625,96955280000000,1,1,0
1,90,96955280000000,96955292322125,96955307635500,15313375,27635500,12322125,96955290000000,1,1,1
1,91,96955300000000,96955307879500,96955323007625,15128125,23007625,7879500,96955310000000,1,1,0
1,93,96955310000000,96955323185125,96955338396500,15211375,28396500,13185125,96955320000000,1,1,1
1,94,96955330000000,96955338578875,96955354503875,15925000,24503875,8578875,96955340000000,1,1,0
1,96,96955340000000,96955354794250,96955370669500,15875250,30669500,14794250,96955350000000,1,1,1
1,98,96955360000000,96955370870875,96955386836750,15965875,26836750,10870875,96955370000000,1,1,1
1,99,96955380000000,96955387025000,96955402955750,15930750,22955750,7025000,96955390000000,1,1,0
1,101,96955390000000,96955403143625,96955419054875,15911250,29054875,13143625,96955400000000,1,1,1
1,102,96955410000000,96955419249000,96955434715625,15466625,24715625,9249000,96955420000000,1,1,0
1,104,96955420000000,96955434905000,96955450119375,15214375,30119375,14905000,96955430000000,1,1,1
1,106,96955440000000,96955450294250,96955466180875,15886625,26180875,10294250,96955450000000,1,1,1
1,107,96955460000000,96955466357375,96955482229125,15871750,22229125,6357375,96955470000000,1,1,0
1,109,96955470000000,96955482415000,96955498117875,15702875,28117875,12415000,96955480000000,1,1,1
1,110,96955490000000,96955498303000,96955514154000,15851000,24154000,8303000,96955500000000,1,1,0
1,112,96955500000000,96955514309125,96955530181250,15872125,30181250,14309125,96955510000000,1,1,1
1,114,96955520000000,96955530463375,96955545766000,15302625,25766000,10463375,96955530000000,1,1,1
1,115,96955540000000,96955545947000,96955561169625,15222625,21169625,5947000,96955550000000,1,1,0
1,117,96955550000000,96955561336125,96955575887750,14551625,25887750,11336125,96955560000000,1,1,1
1,118,96955570000000,96955576136125,96955592057125,15921000,22057125,6136125,96955580000000,1,1,0
1,120,96955580000000,96955592246375,96955608150250,15903875,28150250,12246375,96955590000000,1,1,1
1,121,96955600000000,96955608318625,96955623155750,14837125,23155750,8318625,96955610000000,1,1,0
1,123,96955610000000,96955623362625,96955638518000,15155375,28518000,13362625,96955620000000,1,1,1
1,124,96955630000000,96955638659500,96955654237500,15578000,24237500,8659500,96955640000000,1,1,0
1,126,96955640000000,96955654431000,96955670379875,15948875,30379875,14431000,96955650000000,1,1,1
1,128,96955660000000,96955670569750,96955686168125,15598375,26168125,10569750,96955670000000,1,1,1
1,129,96955680000000,96955686362875,96955702276500,15913625,22276500,6362875,96955690000000,1,1,0
1,131,96955690000000,96955703235875,96955719111875,15876000,29111875,13235875,96955700000000,1,1,1
1,132,96955710000000,96955719301125,96955733912875,14611750,23912875,9301125,96955720000000,1,1,0
1,134,96955720000000,96955734076750,96955748474250,14397500,28474250,14076750,96955730000000,1,1,1
1,135,96955740000000,96955748656750,96955763361625,14704875,23361625,8656750,96955750000000,1,1,0
1,137,96955750000000,96955763582625,96955778732625,15150000,28732625,13582625,96955760000000,1,1,1
1,138,96955770000000,96955778921500,96955794856625,15935125,24856625,8921500,96955780000000,1,1,0
1,140,96955780000000,96955795048375,96955810788750,15740375,30788750,15048375,96955790000000,1,1,1
1,142,96955800000000,96955810967375,96955826144500,15177125,26144500,10967375,96955810000000,1,1,1
1,143,96955820000000,96955827002000,96955841029125,14027125,21029125,7002000,96955830000000,1,1,0
1,145,96955830000000,96955841185250,96955857052500,15867250,27052500,11185250,96955840000000,1,1,1
1,146,96955850000000,96955857229875,96955873044125,15814250,23044125,7229875,96955860000000,1,1,0
1,148,96955860000000,96955873208125,96955889162250,15954125,29162250,13208125,96955870000000,1,1,1
1,149,96955880000000,96955889338000,96955905240375,15902375,25240375,9338000,96955890000000,1,1,0
1,151,96955890000000,96955905403875,96955921234500,15830625,31234500,15403875,96955900000000,1,1,1
1,153,96955910000000,96955921372125,96955935604625,14232500,25604625,11372125,96955920000000,1,1,1
1,154,96955930000000,96955935796375,96955951129375,15333000,21129375,5796375,96955940000000,1,1,0
1,156,96955940000000,96955951343500,96955967257750,15914250,27257750,11343500,96955950000000,1,1,1
1,157,96955960000000,96955967459750,96955981859000,14399250,21859000,7459750,96955970000000,1,1,0
1,159,96955970000000,96955982048375,96955997672250,15623875,27672250,12048375,96955980000000,1,1,1
1,160,96955990000000,96955997857125,96956012275125,14418000,22275125,7857125,96956000000000,1,1,0
1,162,96956000000000,96956012443000,96956028321500,15878500,28321500,12443000,96956010000000,1,1,1
1,163,96956020000000,96956028488375,96956044373625,15885250,24373625,8488375,96956030000000,1,1,0
1,165,96956030000000,96956044552750,96956060446375,15893625,30446375,14552750,96956040000000,1,1,1
1,167,96956050000000,96956060608375,96956074878500,14270125,24878500,10608375,96956060000000,1,1,1
1,168,96956070000000,96956075072500,96956090964375,15891875,20964375,5072500,96956080000000,1,1,0
1,170,96956080000000,96956091132125,96956106367125,15235000,26367125,11132125,96956090000000,1,1,1
1,171,96956100000000,96956106538500,96956121545750,15007250,21545750,6538500,96956110000000,1,1,0
1,173,96956110000000,96956121719500,96956137513625,15794125,27513625,11719500,96956120000000,1,1,1
1,174,96956130000000,96956137687250,96956153598500,15911250,23598500,7687250,96956140000000,1,1,0
1,176,96956140000000,96956153767250,96956169636125,15868875,29636125,13767250,96956150000000,1,1,1
1,177,96956160000000,96956169801125,96956184637250,14836125,24637250,9801125,96956170000000,1,1,0
1,179,96956170000000,96956184822500,96956199981750,15159250,29981750,14822500,96956180000000,1,1,1
1,181,96956190000000,96956200292625,96956216252125,15959500,26252125,10292625,96956200000000,1,1,1
1,182,96956210000000,96956216431625,96956231004875,14573250,21004875,6431625,96956220000000,1,1,0
1,184,96956220000000,96956231178875,96956247030250,15851375,27030250,11178875,96956230000000,1,1,1
1,185,96956240000000,96956247223375,96956263124375,15901000,23124375,7223375,96956250000000,1,1,0
1,187,96956250000000,96956263311750,96956277733125,14421375,27733125,13311750,96956260000000,1,1,1
1,188,96956270000000,96956277911250,96956293131000,15219750,23131000,7911250,96956280000000,1,1,0
1,190,96956280000000,96956293277375,96956309213500,15936125,29213500,13277375,96956290000000,1,1,1
1,191,96956300000000,96956309391000,96956325325125,15934125,25325125,9391000,96956310000000,1,1,0
1,193,96956310000000,96956325490125,96956341295875,15805750,31295875,15490125,96956320000000,1,1,1
1,195,96956330000000,96956342177625,96956356862125,14684500,26862125,12177625,96956340000000,1,1,1
1,196,96956350000000,96956357022625,96956371244375,14221750,21244375,7022625,96956360000000,1,1,0
1,198,96956360000000,96956371437125,96956386625625,15188500,26625625,11437125,96956370000000,1,1,1
1,199,96956380000000,96956386796125,96956402283500,15487375,22283500,6796125,96956390000000,1,1,0
1,201,96956390000000,96956402477750,96956418348500,15870750,28348500,12477750,96956400000000,1,1,1
1,202,96956410000000,96956418534375,96956434449500,15915125,24449500,8534375,96956420000000,1,1,0
1,204,96956420000000,96956434642250,96956450585625,15943375,30585625,14642250,96956430000000,1,1,1
1,206,96956440000000,96956450775875,96956466354750,15578875,26354750,10775875,96956450000000,1,1,1
1,207,96956460000000,96956466675875,96956481842375,15166500,21842375,6675875,96956470000000,1,1,0
1,209,96956470000000,96956482037000,96956497980000,15943000,27980000,12037000,96956480000000,1,1,1
1,210,96956490000000,96956498167375,96956514000000,15832625,24000000,8167375,96956500000000,1,1,0
1,212,96956500000000,96956514184000,96956529695125,15511125,29695125,14184000,96956510000000,1,1,1
1,213,96956520000000,96956529864875,96956544371250,14506375,24371250,9864875,96956530000000,1,1,0
1,215,96956530000000,96956544542875,96956559374250,14831375,29374250,14542875,96956540000000,1,1,1
1,216,96956550000000,96956559575125,96956574752625,15177500,24752625,9575125,96956560000000,1,1,0
1,218,96956560000000,96956574936125,96956590847125,15911000,30847125,14936125,96956570000000,1,1,1
1,220,96956580000000,96956591042375,96956606289875,15247500,26289875,11042375,96956590000000,1,1,1
1,221,96956600000000,96956606446500,96956621017125,14570625,21017125,6446500,96956610000000,1,1,0
1,223,96956610000000,96956621306500,96956636544375,15237875,26544375,11306500,96956620000000,1,1,1
1,224,96956630000000,96956636724875,96956650842375,14117500,20842375,6724875,96956640000000,1,1,0
1,226,96956640000000,96956651035000,96956666948625,15913625,26948625,11035000,96956650000000,1,1,1
1,227,96956660000000,96956667127125,96956682996500,15869375,22996500,7127125,96956670000000,1,1,0
1,229,96956670000000,96956683177375,96956699166250,15988875,29166250,13177375,96956680000000,1,1,1
1,230,96956690000000,96956699370750,96956714291750,14921000,24291750,9370750,96956700000000,1,1,0
1,232,96956700000000,96956714490375,96956730411375,15921000,30411375,14490375,96956710000000,1,1,1
1,234,96956720000000,96956730595750,96956746410375,15814625,26410375,10595750,96956730000000,1,1,1
1,235,96956740000000,96956746573250,96956761824250,15251000,21824250,6573250,96956750000000,1,1,0
1,237,96956750000000,96956761995500,96956775997500,14002000,25997500,11995500,96956760000000,1,1,1
1,238,96956770000000,96956776202875,96956792120750,15917875,22120750,6202875,96956780000000,1,1,0
1,240,96956780000000,96956792389125,96956808217250,15828125,28217250,12389125,96956790000000,1,1,1
1,241,96956800000000,96956808402625,96956824264125,15861500,24264125,8402625,96956810000000,1,1,0
1,243,96956810000000,96956824431750,96956840124625,15692875,30124625,14431750,96956820000000,1,1,1
1,245,96956830000000,96956840321250,96956855432750,15111500,25432750,10321250,96956840000000,1,1,1
1,246,96956850000000,96956855630750,96956871561875,15931125,21561875,5630750,96956860000000,1,1,0
1,248,96956860000000,96956871769250,96956887104750,15335500,27104750,11769250,96956870000000,1,1,1
1,249,96956880000000,96956887309625,96956903126250,15816625,23126250,7309625,96956890000000,1,1,0
1,251,96956890000000,96956903313125,96956917822750,14509625,27822750,13313125,96956900000000,1,1,1
1,252,96956910000000,96956918012125,96956933768625,15756500,23768625,8012125,96956920000000,1,1,0
1,254,96956920000000,96956933941375,96956948603250,14661875,28603250,13941375,96956930000000,1,1,1
1,255,96956940000000,96956948784375,96956963948875,15164500,23948875,8784375,96956950000000,1,1,0
1,257,96956950000000,96956964197250,96956980048125,15850875,30048125,14197250,96956960000000,1,1,1
1,259,96956970000000,96956980192875,96956996386625,16193750,26386625,10192875,96956980000000,1,1,1
1,260,96956990000000,96956997275250,96957012242625,14967375,22242625,7275250,96957000000000,1,1,0
1,262,96957000000000,96957012430500,96957028318750,15888250,28318750,12430500,96957010000000,1,1,1
1,263,96957020000000,96957028505625,96957043124250,14618625,23124250,8505625,96957030000000,1,1,0
1,265,96957030000000,96957043308625,96957058778750,15470125,28778750,13308625,96957040000000,1,1,1
1,266,96957050000000,96957058982125,96957074905500,15923375,24905500,8982125,96957060000000,1,1,0
1,268,96957060000000,96957075060750,96957090917250,15856500,30917250,15060750,96957070000000,1,1,1
1,270,96957080000000,96957091088500,96957106980250,15891750,26980250,11088500,96957090000000,1,1,1
1,271,96957100000000,96957107170000,96957122397125,15227125,22397125,7170000,96957110000000,1,1,0
1,273,96957110000000,96957122566375,96957137589500,15023125,27589500,12566375,96957120000000,1,1,1
1,274,96957130000000,96957137761625,96957153568500,15806875,23568500,7761625,96957140000000,1,1,0
1,276,96957140000000,96957153733875,96957167795500,14061625,27795500,13733875,96957150000000,1,1,1
1,277,96957160000000,96957167979125,96957183905875,15926750,23905875,7979125,96957170000000,1,1,0
1,279,96957170000000,96957184165500,96957198529875,14364375,28529875,14165500,96957180000000,1,1,1
1,280,96957190000000,96957198739125,96957212613875,13874750,22613875,8739125,96957200000000,1,1,0
1,282,96957200000000,96957212792000,96957228759875,15967875,28759875,12792000,96957210000000,1,1,1
1,283,96957220000000,96957228919875,96957244359625,15439750,24359625,8919875,96957230000000,1,1,0
1,285,96957230000000,96957244529000,96957260388875,15859875,30388875,14529000,96957240000000,1,1,1
1,287,96957250000000,96957260561625,96957275399875,14838250,25399875,10561625,96957260000000,1,1,1
1,288,96957270000000,96957275608125,96957290782500,15174375,20782500,5608125,96957280000000,1,1,0
1,290,96957280000000,96957290966500,96957306117875,15151375,26117875,10966500,96957290000000,1,1,1
1,291,96957300000000,96957306259875,96957322143250,15883375,22143250,6259875,96957310000000,1,1,0
1,293,96957310000000,96957322315000,96957338236500,15921500,28236500,12315000,96957320000000,1,1,1
1,294,96957330000000,96957338421125,96957354202875,15781750,24202875,8421125,96957340000000,1,1,0
1,296,96957340000000,96957354367125,96957369529875,15162750,29529875,14367125,96957350000000,1,1,1
1,297,96957360000000,96957369690875,96957385608000,15917125,25608000,9690875,96957370000000,1,1,0
1,299,96957370000000,96957385781125,96957401008625,15227500,31008625,15781125,96957380000000,1,1,1
